,Name,Team,Agents Played,Rounds Played,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Clutches (won/played),Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths
0,MaKo,DRX,astra,62,244.7,1.13,82%,157.2,0.85,0.34,0.11,0.06,30%,8%,1/12,19,53,47,21,7,4
1,Marved,OPTC,astra,116,222.2,1.23,78%,142.3,0.82,0.22,0.09,0.08,37%,9%,1/11,29,95,77,25,11,9
2,Melser,LEV,astra,92,210.8,1.24,68%,142.9,0.78,0.37,0.02,0.07,30%,38%,5/13,29,72,58,34,2,6
3,mindfreak,PRX,astra,99,207.8,1.45,78%,138.3,0.82,0.24,0.03,0.04,33%,57%,8/14,28,81,56,24,3,4
4,Boaster,FNC,astra,75,203.3,1.02,76%,145.2,0.71,0.37,0.09,0.09,20%,17%,1/6,31,53,52,28,7,7
5,sScary,XIA,astra,66,197.7,0.94,64%,122.9,0.68,0.30,0.09,0.15,23%,25%,3/12,19,45,48,20,6,10
6,koldamenta,GLD,astra,84,154.3,0.69,63%,102.2,0.50,0.30,0.06,0.11,23%,11%,1/9,13,42,61,25,5,9
7,BlackWiz,NTH,astra,43,148.5,0.65,72%,91.0,0.51,0.30,0.05,0.12,29%,,0/6,13,22,34,13,2,5
8,delz1k,KRÜ,astra,20,133.0,0.56,70%,97.8,0.45,0.15,0.05,0.10,20%,,0/3,9,9,16,3,1,2
9,pancada,LLL,astra,26,129.0,0.72,62%,99.5,0.50,0.15,0.04,0.15,36%,25%,1/4,13,13,18,4,1,4
10,Shao,FPX,astra,28,127.0,0.88,75%,88.0,0.50,0.07,0.07,0.07,28%,,0/7,14,14,16,2,2,2
11,Zest,DRX,brimstone,38,249.5,1.59,82%,160.8,0.92,0.42,0.05,0.11,27%,50%,1/2,23,35,22,16,2,4
12,Marved,OPTC,brimstone,184,224.9,1.10,74%,146.8,0.81,0.27,0.08,0.07,31%,,0/18,24,149,135,50,14,12
13,ANGE1,FPX,brimstone,98,222.2,1.15,69%,141.7,0.77,0.28,0.14,0.12,37%,17%,1/6,20,75,65,27,14,12
14,pancada,LLL,brimstone,44,215.0,1.14,73%,140.8,0.75,0.50,0.00,0.09,35%,50%,3/6,21,33,29,22,0,4
15,koldamenta,GLD,brimstone,45,201.5,1.38,78%,141.9,0.73,0.40,0.09,0.09,22%,14%,1/7,21,33,24,18,4,4
16,mindfreak,PRX,brimstone,61,198.0,0.96,74%,126.2,0.72,0.38,0.05,0.05,37%,,0/9,20,44,46,23,3,3
17,Crws,XIA,brimstone,54,184.0,0.92,70%,120.4,0.67,0.35,0.02,0.06,21%,,0/6,19,36,39,19,1,3
18,MaKo,DRX,brimstone,54,179.7,0.94,76%,113.7,0.63,0.37,0.04,0.17,23%,,0/3,16,34,36,20,2,9
19,Melser,LEV,brimstone,58,169.5,0.81,69%,107.3,0.60,0.29,0.07,0.07,19%,10%,1/10,20,35,43,17,4,4
20,dephh,XSET,brimstone,19,153.0,0.83,68%,121.4,0.53,0.26,0.00,0.21,32%,,0/2,10,10,12,5,0,4
21,delz1k,KRÜ,brimstone,68,151.3,0.84,76%,93.5,0.53,0.31,0.06,0.10,17%,40%,4/10,19,36,43,21,4,7
22,BlackWiz,NTH,brimstone,22,151.0,0.58,59%,100.5,0.50,0.32,0.00,0.05,18%,,,11,11,19,7,0,1
23,Boaster,FNC,brimstone,44,144.0,0.67,70%,85.8,0.50,0.43,0.02,0.11,16%,14%,1/7,15,22,33,19,1,5
24,Derialy,NTH,brimstone,42,125.0,0.52,57%,89.8,0.40,0.38,0.02,0.10,30%,,0/7,12,17,33,16,1,4
25,Shao,FPX,omen,19,280.0,1.75,74%,192.6,1.11,0.11,0.16,0.11,53%,33%,1/3,21,21,12,2,3,2
26,BcJ,XSET,omen,50,219.0,1.26,86%,134.4,0.78,0.30,0.06,0.10,17%,25%,1/4,20,39,31,15,3,5
27,sScary,XIA,omen,22,212.0,1.07,82%,145.4,0.73,0.41,0.14,0.14,27%,,0/1,16,16,15,9,3,3
28,pancada,LLL,omen,43,207.5,1.14,77%,134.1,0.74,0.26,0.14,0.02,44%,13%,1/8,18,32,28,11,6,1
29,Boaster,FNC,omen,92,196.8,0.95,68%,124.2,0.64,0.40,0.02,0.09,13%,38%,3/8,20,59,62,37,2,8
30,Marved,OPTC,omen,55,192.3,0.95,69%,127.1,0.67,0.44,0.11,0.09,25%,17%,1/6,19,37,39,24,6,5
31,ANGE1,FPX,omen,227,180.4,0.84,69%,118.6,0.63,0.26,0.12,0.16,31%,13%,2/16,19,143,170,60,28,37
32,koldamenta,GLD,omen,30,179.0,0.90,70%,111.9,0.63,0.37,0.07,0.07,24%,,0/3,19,19,21,11,2,2
33,Melser,LEV,omen,54,166.5,0.84,65%,107.3,0.57,0.44,0.00,0.07,35%,14%,1/7,17,31,37,24,0,4
34,BlackWiz,NTH,omen,43,162.0,0.87,67%,110.0,0.63,0.14,0.12,0.09,27%,,0/8,15,27,31,6,5,4
35,MaKo,DRX,omen,45,159.0,0.92,71%,101.8,0.53,0.67,0.00,0.04,21%,,0/4,13,24,26,30,0,2
36,AYRIN,XSET,omen,50,148.5,0.69,68%,99.0,0.54,0.30,0.08,0.04,25%,,0/10,18,27,39,15,4,2
37,delz1k,KRÜ,omen,41,133.0,0.58,68%,86.6,0.44,0.34,0.00,0.02,26%,,0/4,10,18,31,14,0,1
38,SEIDER,FPX,omen,61,125.7,0.64,59%,82.3,0.48,0.11,0.02,0.16,40%,,0/9,14,29,45,7,1,10
39,adverso,LEV,viper,32,254.0,1.21,63%,173.0,0.91,0.22,0.09,0.19,36%,50%,1/2,29,29,24,7,3,6
40,Boaster,FNC,viper,23,252.0,1.54,78%,161.8,0.87,0.39,0.00,0.09,30%,,0/3,20,20,13,9,0,2
41,Alfajer,FNC,viper,75,238.3,1.24,81%,151.6,0.84,0.29,0.11,0.05,31%,13%,1/8,24,63,51,22,8,4
42,koldamenta,GLD,viper,70,236.7,1.32,81%,148.9,0.83,0.36,0.09,0.09,29%,14%,1/7,24,58,44,25,6,6
43,MaKo,DRX,viper,92,235.0,1.30,79%,145.2,0.75,0.54,0.07,0.03,23%,15%,2/13,17,69,53,50,6,3
44,Less,LLL,viper,49,219.5,1.19,69%,132.3,0.76,0.39,0.12,0.04,20%,,0/6,20,37,31,19,6,2
45,SUYGETSU,FPX,viper,205,211.2,1.23,77%,136.4,0.80,0.23,0.09,0.06,31%,10%,3/31,22,163,133,47,18,12
46,sScary,XIA,viper,54,195.0,1.03,74%,128.8,0.63,0.41,0.04,0.07,16%,27%,4/15,19,34,33,22,2,4
47,BlackWiz,NTH,viper,28,187.0,1.00,64%,114.0,0.64,0.25,0.11,0.18,32%,,0/4,18,18,18,7,3,5
48,Klaus,KRÜ,viper,99,183.5,0.79,67%,119.3,0.58,0.52,0.05,0.09,22%,25%,3/12,19,57,72,51,5,9
49,Enzo,FNC,viper,44,181.5,0.90,75%,124.7,0.64,0.32,0.02,0.05,26%,38%,3/8,18,28,31,14,1,2
50,FNS,OPTC,viper,146,176.3,0.98,73%,115.5,0.60,0.32,0.06,0.06,19%,18%,3/17,18,88,90,47,9,9
51,mindfreak,PRX,viper,84,172.3,1.10,73%,115.0,0.67,0.23,0.02,0.05,37%,36%,4/11,21,56,51,19,2,4
52,AYRIN,XSET,viper,41,171.5,0.74,73%,99.2,0.56,0.41,0.10,0.07,13%,,0/3,12,23,31,17,4,3
53,SEIDER,FPX,viper,109,171.0,0.87,68%,119.7,0.60,0.26,0.06,0.06,37%,10%,2/21,19,65,75,28,6,6
54,Mistic,FNC,viper,28,160.0,0.79,82%,117.1,0.54,0.36,0.07,0.11,22%,,0/4,15,15,19,10,2,3
55,ANGE1,FPX,viper,69,158.7,0.67,67%,115.3,0.48,0.36,0.09,0.14,20%,,0/4,15,33,49,25,6,10
56,Melser,LEV,viper,18,152.0,0.53,50%,103.6,0.44,0.11,0.06,0.11,32%,,0/2,8,8,15,2,1,2
57,Benkai,PRX,viper,22,131.0,0.79,55%,86.2,0.50,0.18,0.05,0.09,24%,17%,1/6,11,11,14,4,1,2
58,Russ,GLD,viper,43,118.0,0.36,58%,76.8,0.28,0.33,0.05,0.16,26%,,0/1,7,12,33,14,2,7
59,Sayf,GLD,jett,16,364.0,3.00,75%,222.1,1.31,0.13,0.38,0.13,23%,,0/2,21,21,7,2,6,2
60,aspas,LLL,jett,21,299.0,2.40,71%,177.7,1.14,0.10,0.29,0.24,24%,,,24,24,10,2,6,5
61,Shao,FPX,jett,19,292.0,1.27,74%,188.5,1.00,0.16,0.37,0.11,38%,50%,1/2,19,19,15,3,7,2
62,ardiis,FPX,jett,44,283.0,1.17,82%,174.9,0.93,0.27,0.30,0.09,26%,,0/6,21,41,35,12,13,4
63,Cryocells,XSET,jett,28,282.0,1.56,71%,180.9,1.00,0.14,0.18,0.04,24%,,0/2,28,28,18,4,5,1
